Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
AHMEDNAGAR CITY,225,SANGRAM ARUNKAKA JAGTAP,Nationalist Congress Party,ABHISHEK BALASAHEB KALAMKAR,Nationalist Congress Party – Sharadchandra Pawar,39618
SHRIGONDA,226,PACHPUTE VIKRAM BABANRAO,Bharatiya Janata Party,JAGTAP RAHUL KUNDLIKRAO,Independent,37156
KARJAT JAMKHED,227,ROHIT PAWAR,Nationalist Congress Party – Sharadchandra Pawar,PROF. RAM SHANKAR SHINDE,Bharatiya Janata Party,1243
GEORAI,228,VIJAYSINH SHIVAJIRAO PANDIT,Nationalist Congress Party,BADAMRAO LAHURAO PANDIT,Shiv Sena (Uddhav Balasaheb Thackeray),42390
MAJALGAON,229,PRAKASH (DADA) SUNADARRAO SOLANKE,Nationalist Congress Party,MOHAN BAJIRAO JAGTAP,Nationalist Congress Party – Sharadchandra Pawar,5899
BEED,230,SANDEEP RAVINDRA KSHIRSAGAR,Nationalist Congress Party – Sharadchandra Pawar,KSHIRSAGAR YOGESH BHARATBHUSHAN,Nationalist Congress Party,5324
ASHTI,231,DHAS SURESH RAMCHANDRA,Bharatiya Janata Party,BHIMRAO ANANDRAO DHONDE,Independent,77975
KAIJ,232,NAMITA AKSHAY MUNDADA,Bharatiya Janata Party,PRUTHVIRAJ SHIVAJI SATHE,Nationalist Congress Party – Sharadchandra Pawar,2687
PARLI,233,DHANANJAY PANDITRAO MUNDE,Nationalist Congress Party,RAJESAHEB SHRIKISHAN DESHMUKH,Nationalist Congress Party – Sharadchandra Pawar,140224
LATUR RURAL,234,RAMESH KASHIRAM KARAD,Bharatiya Janata Party,DHIRAJ VILASRAO DESHMUKH,Indian National Congress,6595
LATUR CITY,235,AMIT VILASRAO DESHMUKH,Indian National Congress,DR. ARHCHANA PATIL CHAKURKAR,Bharatiya Janata Party,7398
AHMADPUR,236,BABASAHEB MOHANRAO PATIL,Nationalist Congress Party,JADHAV PATIL VINAYAKRAO KISHANRAO,Nationalist Congress Party – Sharadchandra Pawar,31669
UDGIR,237,SANJAY BABURAO BANSODE,Nationalist Congress Party,SUDHAKAR SANGRAM BHALERAO,Nationalist Congress Party – Sharadchandra Pawar,93214
NILANGA,238,NILANGEKAR SAMBHAJI DILIPRAO PATIL,Bharatiya Janata Party,ABHAY SATISH SALUNKE,Indian National Congress,13740
AUSA,239,ABHIMANYU DATTATRAY PAWAR,Bharatiya Janata Party,DINKAR BABURAO MANE,Shiv Sena (Uddhav Balasaheb Thackeray),33462
UMARGA,240,PRAVIN VIRBHADRAYYA SWAMI (SIR),Shiv Sena (Uddhav Balasaheb Thackeray),CHOUGULE DNYANRAJ DHONDIRAM,Shiv Sena,3965
TULJAPUR,241,RANAJAGJITSINHA PADMASINHA PATIL,Bharatiya Janata Party,KULDEEP DHIRAJ APPASAHEB KADAM PATIL,Indian National Congress,36879
OSMANABAD,242,KAILAS BALASAHEB GHADGE PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),AJIT BAPPASAHEB PINGLE,Shiv Sena,36566
PARANDA,243,PROF.DR.TANAJI JAYAWANT SAWANT,Shiv Sena,RAHUL MAHARUDRA MOTE,Nationalist Congress Party – Sharadchandra Pawar,1509
KARMALA,244,NARAYAN (ABA) GOVINDRAO PATIL,Nationalist Congress Party – Sharadchandra Pawar,SHINDE SANJAYMAMA VITHALRAO,Independent,16085
MADHA,245,ABHIJEET DHANANJAY PATIL,Nationalist Congress Party – Sharadchandra Pawar,RANJIT BABANRAO SHINDE,Independent,30621
BARSHI,246,DILIP GANGADHAR SOPAL,Shiv Sena (Uddhav Balasaheb Thackeray),RAJENDRA VITTHAL RAUT,Shiv Sena,6472
MOHOL,247,KHARE RAJU DNYANU,Nationalist Congress Party – Sharadchandra Pawar,MANE YASHWANT VITTHAL,Nationalist Congress Party,30202
SOLAPUR CITY NORTH,248,DESHMUKH VIJAY SIDRAMAPPA,Bharatiya Janata Party,KOTHE MAHESH VISHNUPANT,Nationalist Congress Party – Sharadchandra Pawar,54583
SOLAPUR CITY CENTRAL,249,DEVENDRA RAJESH KOTHE,Bharatiya Janata Party,FAROOQ MAKBOOL SHABDI,All India Majlis-E-Ittehadul Muslimeen,48850
AKKALKOT,250,KALYANSHETTI SACHIN PANCHAPPA,Bharatiya Janata Party,SIDDHARAM SATLINGAPPA MHETRE,Indian National Congress,49572
SOLAPUR SOUTH,251,DESHMUKH SUBHASH SURESHCHANDRA,Bharatiya Janata Party,AMAR RATIKANT PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),77127
PANDHARPUR,252,AUTADE SAMADHAN MAHADEO,Bharatiya Janata Party,BHALAKE BHAGIRATHDADA BHARAT,Indian National Congress,8430
SANGOLE,253,DR. BABASAHEB ANNASAHEB DESHMUKH,Peasants And Workers Party of India,ADV. SHAHAJIBAPU RAJARAM PATIL,Shiv Sena,25386
MALSHIRAS,254,UTTAMRAO SHIVDAS JANKAR,Nationalist Congress Party – Sharadchandra Pawar,RAM VITTHAL SATPUTE,Bharatiya Janata Party,13147
PHALTAN,255,SACHIN PATIL,Nationalist Congress Party,CHAVAN DEEPAK PRALHAD,Nationalist Congress Party – Sharadchandra Pawar,17046
WAI,256,MAKRAND LAXMANRAO JADHAV (PATIL),Nationalist Congress Party,ARUNADEVI SHASHIKANT PISAL,Nationalist Congress Party – Sharadchandra Pawar,61392
KOREGAON,257,MAHESH SAMBHAJIRAJE SHINDE,Shiv Sena,SHASHIKANT JAYWANT SHINDE,Nationalist Congress Party – Sharadchandra Pawar,45063
MAN,258,JAYKUMAR BHAGAVANRAO GORE,Bharatiya Janata Party,PRABHAKAR DEVBA GHARGE,Nationalist Congress Party – Sharadchandra Pawar,49675
KARAD NORTH,259,MANOJ BHIMRAO GHORPADE,Bharatiya Janata Party,PATIL BALASAHEB URF SHAMRAO PANDURANG,Nationalist Congress Party – Sharadchandra Pawar,43691
KARAD SOUTH,260,DR ATULBABA SURESH BHOSALE,Bharatiya Janata Party,CHAVAN PRITHVIRAJ DAJISAHEB,Indian National Congress,39355
PATAN,261,DESAI SHAMBHURAJ SHIVAJIRAO,Shiv Sena,SATYAJIT VIKRAMSINH PATANKAR,Independent,34824
SATARA,262,SHIVENDRARAJE ABHAYSINHRAJE BHONSLE,Bharatiya Janata Party,AMIT GENUJI KADAM,Shiv Sena (Uddhav Balasaheb Thackeray),142124
DAPOLI,263,KADAM YOGESHDADA RAMDAS,Shiv Sena,KADAM SANJAY VASANT,Shiv Sena (Uddhav Balasaheb Thackeray),24093
GUHAGAR,264,JADHAV BHASKAR BHAURAO,Shiv Sena (Uddhav Balasaheb Thackeray),BENDAL RAJESH RAMCHANDRA,Shiv Sena,2830
CHIPLUN,265,SHEKHAR GOVINDRAO NIKAM,Nationalist Congress Party,PRASHANT BABAN YADAV,Nationalist Congress Party – Sharadchandra Pawar,6867
RATNAGIRI,266,UDAY RAVINDRA SAMANT,Shiv Sena,BAL MANE,Shiv Sena (Uddhav Balasaheb Thackeray),41590
RAJAPUR,267,KIRAN ALIAS BHAIYYA SAMANT,Shiv Sena,RAJAN PRABHAKAR SALVI,Shiv Sena (Uddhav Balasaheb Thackeray),19677
KANKAVLI,268,NITESH NARAYAN RANE,Bharatiya Janata Party,SANDESH BHASKAR PARKAR,Shiv Sena (Uddhav Balasaheb Thackeray),58007
KUDAL,269,NILESH NARAYAN RANE,Shiv Sena,NAIK VAIBHAV VIJAY,Shiv Sena (Uddhav Balasaheb Thackeray),8176
SAWANTWADI,270,DEEPAK VASANTRAO KESARKAR,Shiv Sena,RAJAN KRISHNA TELI,Shiv Sena (Uddhav Balasaheb Thackeray),39899
CHANDGAD,271,SHIVAJI SHATTUPA PATIL,Independent,RAJESH NARSINGRAO PATIL,Nationalist Congress Party,24134
RADHANAGARI,272,ABITKAR PRAKASH ANANDRAO,Shiv Sena,KRISHNARAO PARSHRAM ALIAS K P PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),38259
KAGAL,273,MUSHRIF HASAN MIYALAL,Nationalist Congress Party,GHATGE SAMARJEETSINH VIKRAMSINH,Nationalist Congress Party – Sharadchandra Pawar,11581
KOLHAPUR SOUTH,274,AMAL MAHADEVRAO MAHADIK,Bharatiya Janata Party,RUTURAJ SANJAY PATIL,Indian National Congress,17630
KARVIR,275,CHANDRADEEP SHASHIKANT NARAKE,Shiv Sena,RAHUL P. N. PATIL (SADOLIKAR),Indian National Congress,1976
KOLHAPUR NORTH,276,RAJESH VINAYAK KSHIRSAGAR,Shiv Sena,RAJESH BHARAT LATKAR,Independent,29563
SHAHUWADI,277,DR. VINAY VILASRAO KORE (SAVKAR),Jan Surajya Shakti,SATYAJIT BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackeray),36053
HATKANANGLE,278,DALITMITRA DR.ASHOKRAO MANE(BAPU,Jan Surajya Shakti,AWALE RAJU(BABA) JAYWANTRAO,Indian National Congress,46249
ICHALKARANJI,279,RAHUL PRAKASH AWADE,Bharatiya Janata Party,MADAN SITARAM KARANDE,Nationalist Congress Party – Sharadchandra Pawar,56811
SHIROL,280,RAJENDRA SHAMGONDA PATIL (YADRAVKAR),Rajarshi Shahu Vikas Aghadi,GANPATRAO APPASAHEB PATIL,Indian National Congress,40816
MIRAJ,281,DR. SURESH (BHAU) DAGADU KHADE,Bharatiya Janata Party,TANAJI ANANDA SATPUTE,Shiv Sena (Uddhav Balasaheb Thackeray),45195
SANGLI,282,SUDHIRDADA ALIAS DHANANJAY HARI GADGIL,Bharatiya Janata Party,PRITHVIRAJ (BABA) GULABRAO PATIL,Indian National Congress,36135
ISLAMPUR,283,JAYANT RAJARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,NISHIKANT PRAKASH BHOSALE-PATIL,Nationalist Congress Party,13027
SHIRALA,284,DESHMUKH SATYAJIT SHIVAJIRAO,Bharatiya Janata Party,MANSINGBHAU FATTESINGRAO NAIK,Nationalist Congress Party – Sharadchandra Pawar,22689
PALUS - KADEGAON,285,KADAM VISHWAJIT PATANGRAO,Indian National Congress,SANGRAM SAMPATRAO DESHMUKH,Bharatiya Janata Party,30064
KHANAPUR,286,BABAR SUHAS ANILBHAU,Shiv Sena,VAIBHAVDADA SADASHIVRAO PATIL,Nationalist Congress Party – Sharadchandra Pawar,78181
TASGAON - KAVATHE MAHANKAL,287,ROHIT SUMAN R.R. ABA PATIL,Nationalist Congress Party – Sharadchandra Pawar,SANJAYKAKA PATIL,Nationalist Congress Party,27644
JAT,288,GOPICHAND KUNDLIK PADALKAR,Bharatiya Janata Party,VIKRAMSINH BALASO SAWANT,Indian National Congress,38240
