Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
HINGOLI,94,MUTKULE TANHAJI SAKHARAMJI,Bharatiya Janata Party,RUPALITAI RAJESH PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),10926
JINTUR,95,BORDIKAR MEGHNA DEEPAK SAKORE,Bharatiya Janata Party,BHAMBLE VIJAY MANIKRAO,Nationalist Congress Party – Sharadchandra Pawar,4516
PARBHANI,96,DR. RAHUL VEDPRAKASH PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),ANAND SHESHRAO BHAROSE,Shiv Sena,34216
GANGAKHED,97,GUTTE RATNAKAR MANIKRAO,Rashtriya Samaj Paksha,KADAM VISHAL VIJAYKUMAR,Shiv Sena (Uddhav Balasaheb Thackeray),26292
PATHRI,98,RAJESH UTTAMRAO VITEKAR,Nationalist Congress Party,WARPUDKAR SURESH AMBADASRAO,Indian National Congress,13244
PARTUR,99,BABANRAO DATTATRAY YADAV (LONIKAR),Bharatiya Janata Party,ASARAM JIJABHAU BORADE (A. J. PATIL),Shiv Sena (Uddhav Balasaheb Thackeray),4740
GHANSAWANGI,100,UDHAN HIKMAT BALIRAM,Shiv Sena,RAJESHBHAIYYA TOPE,Nationalist Congress Party – Sharadchandra Pawar,2309
JALNA,101,ARJUN PANDITRAO KHOTKAR,Shiv Sena,KAILAS KISANRAO GORANTYAL,Indian National Congress,31651
BADNAPUR,102,KUCHE NARAYAN TILAKCHAND,Bharatiya Janata Party,BABLU NEHRULAL CHOUDHARY,Nationalist Congress Party – Sharadchandra Pawar,45531
BHOKARDAN,103,DANVE SANTOSH RAOSAHEB,Bharatiya Janata Party,CHANDRAKANT PUNDLIKRAO DANWE,Nationalist Congress Party – Sharadchandra Pawar,23179
SILLOD,104,ABDUL SATTAR,Shiv Sena,BANKAR SURESH PANDURANG,Shiv Sena (Uddhav Balasaheb Thackeray),2420
KANNAD,105,RANJANATAI (SANJANA) HARSHVARDHAN JADHAV,Shiv Sena,JADHAV HARSHWARDHAN RAIBHAN,Independent,18201
PHULAMBRI,106,ANURADHA ATUL CHAVAN,Bharatiya Janata Party,AUTADE VILAS KESHAVRAO,Indian National Congress,32501
AURANGABAD CENTRAL,107,JAISWAL PRADEEP SHIVNARAYAN,Shiv Sena,SIDDIQUI NASERUDDIN TAQUIUDDIN,All India Majlis-E-Ittehadul Muslimeen,8119
AURANGABAD WEST,108,SANJAY PANDURANG SHIRSAT,Shiv Sena,RAJU RAMRAO SHINDE,Shiv Sena (Uddhav Balasaheb Thackeray),16351
AURANGABAD EAST,109,ATUL MORESHWAR SAVE,Bharatiya Janata Party,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,2161
PAITHAN,110,BHUMRE VILAS SANDIPANRAO,Shiv Sena,DATTATRAY RADHAKISAN GORDE,Shiv Sena (Uddhav Balasaheb Thackeray),29192
GANGAPUR,111,BUMB PRASHANT BANSILAL,Bharatiya Janata Party,CHAVAN SATISH BHANUDASRAO,Nationalist Congress Party – Sharadchandra Pawar,5015
VAIJAPUR,112,BORNARE (SIR) RAMESH NANASAHEB,Shiv Sena,DR.DINESH PARDESHI,Shiv Sena (Uddhav Balasaheb Thackeray),41658
NANDGAON,113,SUHAS (AANNA) DWARKANATH KANDE,Shiv Sena,BHUJBAL SAMEER,Independent,89874
MALEGAON CENTRAL,114,MUFTI MOHAMMAD ISMAIL ABDUL KHALIQUE,All India Majlis-E-Ittehadul Muslimeen,ASIF SHAIKH RASHEED,Indian Secular Largest Assembly of Maharashtra,162
MALEGAON OUTER,115,DADAJI DAGDU BHUSE,Shiv Sena,PRAMOD BANDUKAKA PURUSHOTTAM BACHHAV,Independent,106606
BAGLAN,116,DILIP MANGLU BORSE,Bharatiya Janata Party,CHAVAN DIPIKA SANJAY,Nationalist Congress Party – Sharadchandra Pawar,129297
KALWAN,117,NITINBHAU ARJUN (A.T.) PAWAR,Nationalist Congress Party,GAVIT COM. JIVA PANDU,Communist Party of India (Marxist),8432
CHANDVAD,118,DR.AHER RAHUL DAULATRAO,Bharatiya Janata Party,GANESH RAMESH NIMBALKAR,Prahar Janshakti Party,48961
YEVLA,119,CHHAGAN BHUJBAL,Nationalist Congress Party,ADV. MANIKRAO MADHAVRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,26400
SINNAR,120,ADV. KOKATE MANIKRAO SHIVAJI,Nationalist Congress Party,UDAY PUNJAJI SANGALE,Nationalist Congress Party – Sharadchandra Pawar,40884
NIPHAD,121,BANKAR DILIPRAO SHANKARRAO,Nationalist Congress Party,ANIL (ANNA) SAHEBRAO KADAM,Shiv Sena (Uddhav Balasaheb Thackeray),29239
DINDORI,122,NARAHARI SITARAM ZIRWAL,Nationalist Congress Party,CHAROSKAR SUNITA RAMDAS,Nationalist Congress Party – Sharadchandra Pawar,44403
NASHIK EAST,123,ADV.RAHUL UTTAMRAO DHIKALE,Bharatiya Janata Party,GANESH (BHAU) BABAN GITE,Nationalist Congress Party – Sharadchandra Pawar,87817
NASHIK CENTRAL,124,DEVYANI SUHAS PHARANDE,Bharatiya Janata Party,GITE VASANT NIVRUTTI,Shiv Sena (Uddhav Balasaheb Thackeray),17856
NASHIK WEST,125,HIRAY SEEMA MAHESH,Bharatiya Janata Party,BADGUJAR SUDHAKAR (BHAU) BHIKA,Shiv Sena (Uddhav Balasaheb Thackeray),68177
DEOLALI,126,AHIRE SAROJ BABULAL,Nationalist Congress Party,DR. AHIRRAO RAJASHRI TAHASILDARTAI,Shiv Sena,40679
IGATPURI,127,KHOSKAR HIRAMAN BHIKA,Nationalist Congress Party,LUCKYBHAU BHIKA JADHAV,Indian National Congress,86581
DAHANU,128,VINOD BHIVA NIKOLE,Communist Party of India (Marxist),MEDHA VINOD SURESH,Bharatiya Janata Party,5133
VIKRAMGAD,129,BHOYE HARISHCHANDRA SAKHARAM,Bharatiya Janata Party,BHUSARA SUNIL(BHAU) CHANDRAKANT,Nationalist Congress Party – Sharadchandra Pawar,41408
PALGHAR,130,GAVIT RAJENDRA DHEDYA,Shiv Sena,JAYENDRA KISAN DUBLA,Shiv Sena (Uddhav Balasaheb Thackeray),40337
BOISAR,131,VILAS SUKUR TARE,Shiv Sena,RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,44455
NALASOPARA,132,RAJAN BALKRISHNA NAIK,Bharatiya Janata Party,KSHITIJ HITENDRA THAKUR,Bahujan Vikas Aaghadi,36875
VASAI,133,SNEHA DUBE PANDIT,Bharatiya Janata Party,HITENDRA VISHNU THAKUR,Bahujan Vikas Aaghadi,3153
BHIWANDI RURAL,134,SHANTARAM TUKARAM MORE,Shiv Sena,GHATAL MAHADEV AMBO,Shiv Sena (Uddhav Balasaheb Thackeray),57962
SHAHAPUR,135,DAULAT BHIKA DARODA,Nationalist Congress Party,BARORA PANDURANG MAHADU,Nationalist Congress Party – Sharadchandra Pawar,1672
BHIWANDI WEST,136,CHOUGHULE MAHESH PRABHAKAR,Bharatiya Janata Party,AZMI RIYAJ MUQEEMUDDIN,Samajwadi Party,31293
BHIWANDI EAST,137,RAIS KASAM SHAIKH,Samajwadi Party,SANTOSH MANJAYYA SHETTY,Shiv Sena,52015
KALYAN WEST,138,VISHWANATH ATMARAM BHOIR,Shiv Sena,BASARE SACHIN DILIP,Shiv Sena (Uddhav Balasaheb Thackeray),42454
MURBAD,139,KISAN SHANKAR KATHORE,Bharatiya Janata Party,SUBHASH GOTIRAM PAWAR,Nationalist Congress Party – Sharadchandra Pawar,52392
AMBERNATH,140,DR. BALAJI PRALHAD KINIKAR,Shiv Sena,RAJESH DEVENDRA WANKHEDE,Shiv Sena (Uddhav Balasaheb Thackeray),51375
ULHASNAGAR,141,AILANI KUMAR UTTAMCHAND,Bharatiya Janata Party,OMIE PAPPU KALANI,Nationalist Congress Party – Sharadchandra Pawar,30754
KALYAN EAST,142,SULBHA GANPAT GAIKWAD,Bharatiya Janata Party,MAHESH DASHRATH GAIKWAD,Independent,26408
DOMBIVALI,143,CHAVAN RAVINDRA DATTATRAY,Bharatiya Janata Party,DIPESH PUNDLIK MHATRE,Shiv Sena (Uddhav Balasaheb Thackeray),77106
KALYAN RURAL,144,RAJESH GOVARDHAN MORE,Shiv Sena,PRAMOD (RAJU) RATAN PATIL,Maharashtra Navnirman sena,66396
MIRA BHAYANDAR,145,NARENDRA MEHTA,Bharatiya Janata Party,MUZAFFAR HUSSAIN,Indian National Congress,60433
OVALA - MAJIWADA,146,Pratap Baburao Sarnaik,Shiv Sena,NARESH MANERA,Shiv Sena (Uddhav Balasaheb Thackeray),108158
KOPRI - PACHPAKHADI,147,EKNATH SAMBHAJI SHINDE,Shiv Sena,KEDAR PRAKASH DIGHE,Shiv Sena (Uddhav Balasaheb Thackeray),120717
THANE,148,SANJAY MUKUND KELKAR,Bharatiya Janata Party,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackeray),58253
MUMBRA - KALWA,149,AWHAD JITENDRA SATISH,Nationalist Congress Party – Sharadchandra Pawar,NAJEEB MULLA,Nationalist Congress Party,96228
AIROLI,150,GANESH RAMCHANDRA NAIK,Bharatiya Janata Party,CHOUGULE VIJAY LAXMAN,Independent,91880
BELAPUR,151,MANDA VIJAY MHATRE,Bharatiya Janata Party,SANDEEP GANESH NAIK,Nationalist Congress Party – Sharadchandra Pawar,377
BORIVALI,152,SANJAY UPADHYAY,Bharatiya Janata Party,SANJAY WAMAN BHOSALE,Shiv Sena (Uddhav Balasaheb Thackeray),100257
DAHISAR,153,CHAUDHARY MANISHA ASHOK,Bharatiya Janata Party,GHOSALKAR VINOD RAMCHANDRA,Shiv Sena (Uddhav Balasaheb Thackeray),44329
MAGATHANE,154,PRAKASH SURVE,Shiv Sena,UDESH PATEKAR,Shiv Sena (Uddhav Balasaheb Thackeray),58164
MULUND,155,MIHIR KOTECHA,Bharatiya Janata Party,RAKESH SHANKAR SHETTY,Indian National Congress,90032
VIKHROLI,156,SUNIL RAJARAM RAUT,Shiv Sena (Uddhav Balasaheb Thackeray),SUVARNA SAHADEV KARANJE,Shiv Sena,15526
BHANDUP WEST,157,ASHOK DHARMARAJ PATIL,Shiv Sena,RAMESH GAJANAN KORGAONKAR,Shiv Sena (Uddhav Balasaheb Thackeray),6764
JOGESHWARI EAST,158,ANANT (BALA) B. NAR,Shiv Sena (Uddhav Balasaheb Thackeray),MANISHA RAVINDRA WAIKAR,Shiv Sena,1541
DINDOSHI,159,SUNIL WAMAN PRABHU,Shiv Sena (Uddhav Balasaheb Thackeray),SANJAY NIRUPAM,Shiv Sena,6182
KANDIVALI EAST,160,ATUL BHATKHALKAR,Bharatiya Janata Party,KALU BUDHELIA,Indian National Congress,83593
CHARKOP,161,YOGESH SAGAR,Bharatiya Janata Party,YASHWANT JAYPRAKASH SINGH,Indian National Congress,91154
